page_id,title,pagerank,rank,percentile,in_degree,out_degree
17416221,South_Africa,0.0001429098217960303,76,0.9999895262557914,94498,1624
17730,Latin,0.0001423794288637879,77,0.9999893866058687,35216,784
4913064,New_Zealand,0.00014174155836367718,78,0.9999892469559459,86939,999
3524766,YouTube,0.00013900079696869502,79,0.9999891073060231,93396,1507
26994,Scotland,0.00013779806008597405,80,0.9999889676561003,73813,1528
48518,Oxford_University_Press,0.00013641488248435925,81,0.9999888280061775,39966,308
53509,Village,0.00013627005644747004,82,0.9999886883562548,101195,520
26964606,Austria,0.00013469202369727554,83,0.999988548706332,93801,787
18951905,Argentina,0.0001336858637719798,84,0.9999884090564092,92750,1391
72624,Encyclopædia_Britannica_Eleventh_Edition,0.0001308455962907696,85,0.9999882694064864,28849,90
26825,Spanish_language,0.00013052702756479576,86,0.9999881297565637,46444,814
20378103,World_Register_of_Marine_Species,0.00013032094565492523,87,0.9999879901066409,95582,13
41460828,Barcode_of_Life_Data_System,0.00012887860639844388,88,0.9999878504567181,118846,88
108956,"Washington,_D.C.",0.00012869678862534195,89,0.9999877108067953,62900,2084
10577,Finland,0.00012739758256765434,90,0.9999875711568725,75690,1019
9239,Europe,0.00012627024508687446,91,0.9999874315069498,54332,1648
19344654,BBC,0.00012577936863493173,92,0.999987291857027,62134,1349
649702,Defender_(association_football),0.00012572562464467738,93,0.9999871522071042,98375,281
51509,County_seat,0.00012455062345326578,94,0.9999870125571814,92705,230
31750,Ukraine,0.00012406079423806472,95,0.9999868729072586,86021,1286
76972,Denmark,0.0001236651392732761,96,0.9999867332573359,79232,1255
232346,Unincorporated_area,0.00012263375612661274,97,0.999986593607413,86903,476
9317,European_Union,0.00012089438714596315,98,0.9999864539574903,36085,1614
102226,The_Washington_Post,0.00011995534904852287,99,0.9999863143075675,53759,619
14653,Iran,0.00011970008701339113,100,0.9999861746576447,103104,1352
